igpu_frac,backend,rows,cols,generations,threads,block,shared,wrap,kernel_ms,wall_ms,mcells_kernel,mcells_wall
0.06,hybrid,32768,32768,60,1,256,0,0,1951.854419,1951.941542,33006.82101,33005.34778
0.06,hybrid,32768,32768,60,1,256,0,0,2141.261767,2141.361168,30087.17123,30085.7746
0.06,hybrid,32768,32768,60,1,256,0,0,1994.103717,1994.203682,32307.50181,32305.8823
0.06,hybrid,32768,32768,60,1,256,0,0,1983.528701,1983.61881,32479.74653,32478.27108
0.07,hybrid,32768,32768,60,1,256,0,0,2072.514933,2072.602746,31085.18468,31083.86765
0.07,hybrid,32768,32768,60,1,256,0,0,2219.043871,2219.141679,29032.55329,29031.27369
0.07,hybrid,32768,32768,60,1,256,0,0,2118.22401,2118.337239,30414.39864,30412.77293
0.07,hybrid,32768,32768,60,1,256,0,0,2094.181425,2094.268617,30763.57601,30762.29521
0.07,hybrid,32768,32768,60,1,256,0,0,2087.25375,2087.363704,30865.68149,30864.05561
0.08,hybrid,32768,32768,60,1,256,0,0,2374.343765,2374.433907,27133.60651,27132.57642
0.08,hybrid,32768,32768,60,1,256,0,0,2377.942752,2378.028486,27092.54013,27091.56338
0.08,hybrid,32768,32768,60,1,256,0,0,2389.831456,2389.917017,26957.76277,26956.79766
0.08,hybrid,32768,32768,60,1,256,0,0,2360.554869,2360.672472,27292.10419,27290.74457
0.08,hybrid,32768,32768,60,1,256,0,0,2490.290734,2490.386358,25870.27633,25869.28299
0.10,hybrid,32768,32768,60,1,256,0,0,2945.568863,2945.666194,21871.66976,21870.94708
0.10,hybrid,32768,32768,60,1,256,0,0,2974.723925,2974.828619,21657.30705,21656.54486
0.10,hybrid,32768,32768,60,1,256,0,0,2958.022711,2958.133111,21779.5858,21778.77297
0.10,hybrid,32768,32768,60,1,256,0,0,3007.114259,3007.201892,21424.03111,21423.40679
0.10,hybrid,32768,32768,60,1,256,0,0,2954.266975,2954.362765,21807.27402,21806.56695
0,hybrid,40960,40960,40,1,256,0,0,2152.757528,2152.779435,31173.44296,31173.12573
0,hybrid,40960,40960,40,1,256,0,0,2149.317967,2149.340576,31223.32993,31223.00149
0,hybrid,40960,40960,40,1,256,0,0,2130.324193,2130.372572,31501.71426,31500.99888
0,hybrid,40960,40960,40,1,256,0,0,2148.75779,2148.780282,31231.46979,31231.14288
0,hybrid,40960,40960,40,1,256,0,0,2127.632074,2127.654527,31541.57376,31541.24091
0.03,hybrid,40960,40960,40,1,256,0,0,2093.388399,2093.449076,32057.53124,32056.60208
